Start     End       Cat  Project      Description
59ebff3c  59ebffd2  COD  Twig  Optimising code
59ec0210  59ec02da  COD  Twig  Optimising code
59ec06de  59ec1188  DSG  Oeuvre  Creating project logos
59ec12b9  59ec2692  COD  Log  Cleaning up code
59ec30a7  59ec32b6  VID  Mithvaer  Updating worldbuilding notes
59ec32d0  59ec4070  VID  Mithvaer  Adding content to wiki
59ec554f  59ec6055  DSG  Eau  Updating UI
59ec60a9  59ec64f6  COD  Eau  Cleaning up code
59ec673e  59ec6777  COD  Eau  Fixing timer
59ec6824  59ec6bd4  COD  Texte  Restructuring code
59ec6e6f  59ec7060  DSG  Somnus  Updating UI
59ec7111  59ec7267  COD  Twig  Fixing input issue
59ecb704  59ecb874  COD  Log  Adding Mors
59ed494b  59ed499a  COD  Somnus  Adding Mors
59ed49d4  59ed4f7e  COD  Eau  Fixing overview chart
59ed531f  59ed5ccf  DSG  Eau  Updating UI
59ed69fe  59ed6fd0  DSG  Memex  Updating design
59ed745e  59ed83c4  DSG  Memex  Updating design
59ed8fe1  59ed972f  PHO  Photography  Editing photos
59eda79e  59edad56  MUS  Piano  Practicing
59edae65  59edb364  DSG  Log  Updating UI
59edb36d  59edb5c2  COD  Log  Cleaning up code
59edd684  59edeea2  COD  Log  Cleaning up code
59edf165  59edf3f8  COD  Log  Cleaning up code
59edf605  59edf906  DSG  Log  Updating day chart
59edf977  59edfc99  DSG  Log  Updating month chart
59ee0323  59ee05c8  COD  Log  Fixing month chart centering issue
59ee955b  59eea1e7  COD  Log  Cleaning up code
59eea3a3  59eeaaf0  COD  Log  Fixing chart overflow
59eeb71e  59eeb982  COD  Log  Cleaning up code
59eebabe  59eec024  RES  Design  Researching UX/UI principles
59eec058  59eec9fc  DSG  Log  Improving design
59eedd97  59eee935  VID  Mithvaer  Worldbuilding
59eef8fe  59eeffb4  COD  Log  Optimising CSS
59ef166a  59ef1f07  RES  Mithvaer  Researching conlangs
59ef2dfc  59ef4cbb  COD  Log  Experimenting with Deuveir's log data
59ef4d5f  59ef6606  COD  Log  Experimenting with Deuveir's log data
59ef67a6  59ef6e84  COD  Log  Fixing Deuveir's log time errors
59ef7bcb  59ef8213  AUD  Marabu  Composing music
59effd96  59f00068  COD  Rotonde  Updating Rotonde
59f000d2  59f00c02  COD  Chronicle  Building Rotonde Chronicle
59f015cf  59f01d46  AUD  Marabu  Composing music
59f02516  59f03753  DSG  Primaire  Updating site
59f03d56  59f04c25  DSG  Primaire  Updating site
59f04f32  59f050f6  DSG  Primaire  Updating site
